Ga0209230|Ga0209230_10000608 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on complementary strand	k:Bacteria(1.0000),d:PANNAM(1.0000),p:Proteobacteria-Proteobacteria_X(1.0000),c:Gammaproteobacteria(1.0000),o:Betaproteobacteriales(1.0000),f:Burkholderiaceae(0.9700),g:Polynucleobacter(0.7954),s:Polynucleobacter_sp.(0.6522)	+	k:Bacteria,d:PANNAM,p:Proteobacteria-Proteobacteria_X,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae
Ga0209230|Ga0209230_10001226 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.6000),d:TSAR(0.2340),p:Stramenopiles-Gyrista(0.0445),c:Bacillariophyceae(0.0076),o:Bacillariales(0.0012),f:Bacillariaceae(0.0002),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0209230|Ga0209230_10000297 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.3400),d:TSAR(0.0544),p:Stramenopiles-Gyrista(0.0071),c:Bacillariophyceae(0.0008),o:Bacillariales(0.0001),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0209230|Ga0209230_10000626 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on complementary strand	k:Bacteria(1.0000),d:PANNAM(1.0000),p:Proteobacteria-Proteobacteria_X(1.0000),c:Gammaproteobacteria(1.0000),o:Betaproteobacteriales(1.0000),f:Methylophilaceae(0.9900),g:Candidatus_Methylopumilus(0.9306),s:Candidatus_Methylopumilus_sp.(0.8748)	+	k:Bacteria,d:PANNAM,p:Proteobacteria-Proteobacteria_X,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Methylophilaceae,g:Candidatus_Methylopumilus,s:Candidatus_Methylopumilus_sp.
Ga0209230|Ga0209230_10001336 E Predicted Eukaryotic  rRNA (2621 bp) From domain V1l to V9l on main strand	k:Eukaryota(1.0000),d:Cryptista(1.0000),p:Cryptophyta-Cryptophyta_X(1.0000),c:Cryptophyceae(1.0000),o:Cryptomonadales(0.8100),f:Cryptomonadales_X(0.6480),g:Cryptomonadales_XX(0.4406),s:Cryptomonadales_XX_sp.(0.2996)	+	k:Eukaryota,d:Cryptista,p:Cryptophyta-Cryptophyta_X,c:Cryptophyceae,o:Cryptomonadales
Ga0209230|Ga0209230_10001853 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Bacteria(1.0000),d:Terrabacteria(1.0000),p:Actinobacteria-Actinobacteria_X(0.9800),c:Actinobacteria_XX(0.9506),o:PeM15(0.0856),f:PeM15_X(0.0077),g:PeM15_XX(0.0007),s:PeM15_XX_sp.(0.0001)	+	k:Bacteria,d:Terrabacteria,p:Actinobacteria-Actinobacteria_X,c:Actinobacteria_XX
Ga0209230|Ga0209230_10001569 E Predicted Eukaryotic  rRNA (2665 bp) From domain V1l to V9l on main strand	k:Eukaryota(1.0000),d:Obazoa(1.0000),p:Opisthokonta-Metazoa(1.0000),c:Mollusca(1.0000),o:Bivalvia(1.0000),f:Heteroconchia(1.0000),g:Dreissena(0.7900),s:Dreissena_rostriformis(0.4503)	+	k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Mollusca,o:Bivalvia,f:Heteroconchia
Ga0209230|Ga0209230_10002285 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.5600),d:TSAR(0.1792),p:Stramenopiles-Gyrista(0.0233),c:Bacillariophyceae(0.0023),o:Bacillariales(0.0002),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0209230|Ga0209230_10002230 E Predicted Eukaryotic  rRNA (2626 bp) From domain V1l to V9l on complementary strand	k:Eukaryota(1.0000),d:TSAR(1.0000),p:Alveolata-Ciliophora(1.0000),c:Oligohymenophorea(1.0000),o:Scuticociliatia_2(0.9900),f:Histiobalantiidae(0.7821),g:Histiobalantium(0.6179),s:Histiobalantium_sp.(0.2780)	+	k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Oligohymenophorea,o:Scuticociliatia_2
Ga0209230|Ga0209230_10001931 E Predicted Eukaryotic  rRNA (1741 bp) From domain V1l to V9r on main strand	k:Eukaryota(1.0000),d:Obazoa(1.0000),p:Opisthokonta-Metazoa(1.0000),c:Rotifera(1.0000),o:Rotifera_X(1.0000),f:Rotifera_XX(1.0000),g:Synchaeta(0.2300),s:Synchaeta_tremula/oblonga(0.0368)	+	k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Rotifera,o:Rotifera_X,f:Rotifera_XX
