Ga0314683|Ga0314683_10147842 E Predicted Eukaryotic  rRNA (1384 bp) From domain V8l to V8l on complementary strand	k:Eukaryota(0.9400),d:TSAR(0.1974),p:Stramenopiles-Gyrista(0.0237),c:Bacillariophyceae(0.0017),o:Bacillariales(0.0001),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	k:Eukaryota
Ga0314683|Ga0314683_10133882 E Predicted Eukaryotic  rRNA (1441 bp) From domain V3l to V3l on main strand	k:Eukaryota(0.9300),d:Excavata(0.1581),p:Metamonada-Fornicata(0.0190),c:Fornicata_X(0.0023),o:Diplomonadida(0.0003),f:Hexamitidae(0.0000),g:Giardia(0.0000),s:Giardia_intestinalis(0.0000)	+	k:Eukaryota
Ga0314683|Ga0314683_10249322 E Predicted Eukaryotic  rRNA (1036 bp) From domain V3r to V3r on complementary strand	k:Eukaryota(0.9700),d:TSAR(0.2716),p:Stramenopiles-Gyrista(0.0489),c:Bacillariophyceae(0.0064),o:Bacillariales(0.0005),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	k:Eukaryota
Ga0314683|Ga0314683_10290160 E Predicted Eukaryotic  rRNA (1016 bp) From domain V5r to V5r on complementary strand	k:Eukaryota(0.9400),d:Amoebozoa(0.2068),p:Evosea-Eumycetozoa(0.0393),c:Myxogastria_Fuscisporidia(0.0075),o:Stemonitida(0.0006),f:Stemonitidae(0.0000),g:Lamproderma(0.0000),s:Lamproderma_arcyrioides(0.0000)	+	k:Eukaryota
Ga0314683|Ga0314683_10373900 E Predicted Eukaryotic  rRNA (890 bp) From domain V1l to V1l on complementary strand	k:Eukaryota(0.9800),d:Amoebozoa(0.1862),p:Evosea-Eumycetozoa(0.0354),c:Myxogastria_Fuscisporidia(0.0057),o:Stemonitida(0.0006),f:Stemonitidae(0.0001),g:Lamproderma(0.0000),s:Lamproderma_arcyrioides(0.0000)	-	k:Eukaryota
Ga0314683|Ga0314683_10444241 E Predicted Eukaryotic  rRNA (809 bp) From domain V5r to V5r on complementary strand	k:Eukaryota(0.9100),d:TSAR(0.4550),p:Stramenopiles-Gyrista(0.1456),c:Bacillariophyceae(0.0422),o:Bacillariales(0.0114),f:Bacillariaceae(0.0031),g:Fragilariopsis(0.0008),s:Fragilariopsis_kerguelensis(0.0002)	-	k:Eukaryota
Ga0314683|Ga0314683_10488539 E Predicted Eukaryotic  rRNA (766 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.3300),d:TSAR(0.0462),p:Stramenopiles-Gyrista(0.0060),c:Bacillariophyceae(0.0008),o:Bacillariales(0.0001),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0314683|Ga0314683_10722169 E Predicted Eukaryotic  rRNA (606 bp) From domain V7l to V7l on complementary strand	k:Eukaryota(0.9200),d:TSAR(0.1840),p:Stramenopiles-Gyrista(0.0147),c:Bacillariophyceae(0.0009),o:Bacillariales(0.0001),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	-	k:Eukaryota
Ga0314683|Ga0314683_10970597 E Predicted Eukaryotic  rRNA (502 bp) From domain V5r to V5r on main strand	k:Eukaryota(0.6500),d:TSAR(0.3445),p:Stramenopiles-Gyrista(0.0723),c:Bacillariophyceae(0.0145),o:Bacillariales(0.0026),f:Bacillariaceae(0.0005),g:Fragilariopsis(0.0001),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0314683|Ga0314683_11002472 E Predicted Eukaryotic  rRNA (405 bp) From domain V1l to V3l on main strand	k:Eukaryota(1.0000),d:Obazoa(1.0000),p:Opisthokonta-Metazoa(1.0000),c:Arthropoda(1.0000),o:Crustacea(1.0000),f:Maxillopoda(1.0000),g:Acartia(1.0000),s:Acartia_clausii(1.0000)	+	k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Crustacea,f:Maxillopoda,g:Acartia,s:Acartia_clausii
