Ga0453200|Ga0453200_0000826 E Predicted Eukaryotic  rRNA (1286 bp) From domain V3l to V3l on main strand	k:Eukaryota(1.0000),d:Cryptista(0.2100),p:Cryptophyta-Cryptophyta_X(0.0441),c:Cryptophyceae(0.0093),o:Cryptomonadales(0.0016),f:Cryptomonadales_X(0.0003),g:Cryptomonadales_XX(0.0000),s:Cryptomonadales_XX_sp.(0.0000)	+	k:Eukaryota
Ga0453200|Ga0453200_0000659 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Eukaryota:plas(0.7600),d:Archaeplastida:plas(0.5016),p:Chlorophyta:plas-Chlorophyta_X:plas(0.3110),c:Chlorophyceae:plas(0.1524),o:Chlamydomonadales:plas(0.0716),f:Chlamydomonadales_X:plas(0.0337),g:Dunaliella:plas(0.0061),s:Dunaliella_salina:plas(0.0010)	+	
Ga0453200|Ga0453200_0000755 E Predicted Eukaryotic  rRNA (2039 bp) From domain V5r to V5r on complementary strand	k:Eukaryota(0.6100),d:TSAR(0.2379),p:Stramenopiles-Gyrista(0.0571),c:Bacillariophyceae(0.0126),o:Bacillariales(0.0025),f:Bacillariaceae(0.0005),g:Fragilariopsis(0.0001),s:Fragilariopsis_kerguelensis(0.0000)	+	
Ga0453200|Ga0453200_0000172 E Predicted Eukaryotic  rRNA (2681 bp) From domain V1l to V9l on main strand	k:Eukaryota:nucl(0.8500),d:Cryptista:nucl(0.7225),p:Cryptophyta:nucl-Cryptophyta_X:nucl(0.6141),c:Cryptophyceae:nucl(0.5220),o:Cryptomonadales:nucl(0.4072),f:Cryptomonadales_X:nucl(0.3135),g:Geminigera:nucl(0.1630),s:Geminigera_cryophila:nucl(0.0848)	+	k:Eukaryota:nucl
Ga0453200|Ga0453200_0001714 E Predicted Eukaryotic  rRNA (2034 bp) From domain V1l to V1l on complementary strand	k:Eukaryota(0.9600),d:TSAR(0.2304),p:Stramenopiles-Gyrista(0.0300),c:Bacillariophyceae(0.0030),o:Naviculales(0.0001),f:Naviculaceae(0.0000),g:Haslea(0.0000),s:Haslea_sp.(0.0000)	-	k:Eukaryota
Ga0453200|Ga0453200_0001394 E Predicted Eukaryotic  rRNA (2616 bp) From domain V1l to V9l on main strand	k:Eukaryota(1.0000),d:TSAR(0.9900),p:Alveolata-Ciliophora(0.9702),c:CONThreeP(0.6888),o:CONThreeP_X(0.4891),f:CONThreeP_XX(0.3472),g:Askenasia(0.2465),s:Askenasia_sp.(0.1750)	+	k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora
Ga0453200|Ga0453200_0002034 E Predicted Eukaryotic  rRNA (2043 bp) From domain V4l to V4l on complementary strand	k:Eukaryota(0.9600),d:TSAR(0.2112),p:Stramenopiles-Gyrista(0.0211),c:Bacillariophyceae(0.0019),o:Bacillariales(0.0002),f:Bacillariaceae(0.0000),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	k:Eukaryota
Ga0453200|Ga0453200_0002659 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on main strand	k:Eukaryota:plas(1.0000),d:TSAR:plas(1.0000),p:Stramenopiles:plas-Gyrista:plas(1.0000),c:Mediophyceae:plas(0.9000),o:Thalassiosirales:plas(0.5760),f:Thalassiosiraceae:plas(0.2995),g:Thalassiosira:plas(0.1408),s:Thalassiosira_pseudonana:plas(0.0366)	+	k:Eukaryota:plas,d:TSAR:plas,p:Stramenopiles:plas-Gyrista:plas,c:Mediophyceae:plas
Ga0453200|Ga0453200_0002723 E Predicted Eukaryotic  rRNA (1571 bp) From domain V9l to V9l on complementary strand	k:Eukaryota(0.9800),d:TSAR(0.4312),p:Stramenopiles-Gyrista(0.1078),c:Bacillariophyceae(0.0183),o:Bacillariales(0.0022),f:Bacillariaceae(0.0003),g:Fragilariopsis(0.0000),s:Fragilariopsis_kerguelensis(0.0000)	+	k:Eukaryota
Ga0453200|Ga0453200_0002384 E Predicted Eukaryotic  rRNA (2658 bp) From domain V1l to V9l on complementary strand	k:Eukaryota(1.0000),d:Obazoa(1.0000),p:Opisthokonta-Metazoa(1.0000),c:Arthropoda(1.0000),o:Crustacea(1.0000),f:Maxillopoda(1.0000),g:Maxillopoda_X(0.2100),s:Maxillopoda_X_sp.(0.0441)	+	k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Crustacea,f:Maxillopoda
Ga0453200|Ga0453200_0004404 E Predicted Eukaryotic  rRNA (2041 bp) From domain V5r to V5r on complementary strand	k:Bacteria(1.0000),d:Terrabacteria(1.0000),p:Actinobacteria-Actinobacteria_X(1.0000),c:Acidimicrobiia(1.0000),o:Microtrichales(1.0000),f:Ilumatobacteraceae(1.0000),g:CL50029_marine_group(1.0000),s:CL50029_marine_group_sp.(1.0000)	+	k:Bacteria,d:Terrabacteria,p:Actinobacteria-Actinobacteria_X,c:Acidimicrobiia,o:Microtrichales,f:Ilumatobacteraceae,g:CL50029_marine_group,s:CL50029_marine_group_sp.
Ga0453200|Ga0453200_0002775 E Predicted Eukaryotic  rRNA (2657 bp) From domain V1l to V9l on main strand	k:Eukaryota(1.0000),d:TSAR(1.0000),p:Stramenopiles-Gyrista(1.0000),c:Mediophyceae(1.0000),o:Thalassiosirales(1.0000),f:Stephanodiscaceae(1.0000),g:Stephanodiscus(1.0000),s:Stephanodiscus_hantzschii(1.0000)	+	k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Mediophyceae,o:Thalassiosirales,f:Stephanodiscaceae,g:Stephanodiscus,s:Stephanodiscus_hantzschii
